libelle;description;image_heigth;image_width;image_x;image_y;matricule_x;matricule_y;membre_x;membre_y;nom_x;nom_y;prenom_x;prenom_y;qr_height;qr_width;qr_x;qr_y;date_delivrance_x;date_delivrance_y;date_expiration_x;date_expiration_y;sample_largeur;sample_longueur;pdf_content_recto;pdf_content_recto_content_type;pdf_content_verso;pdf_content_verso_content_type;created_by;created_date;last_modified_by;last_modified_date
0d6d7bb5-75f3-43d8-b164-295d40e1675f;quoique touriste près;13760.46;11265.56;21355.7;8451.49;28179.32;2755.9;14987.19;17869.84;10755.49;28451.39;31418.25;20895.51;22880.75;18429.27;1588.37;3105.24;20827.98;1484.92;9560.4;20858.42;17265.34;561.04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;assez meuh;2024-07-31T16:05:47;horrible sage loufoque;2024-07-31T13:14:50
0726e407-226d-4a2a-855d-16f00741322f;depuis autour toc-toc;17727.56;16092.01;14979.94;3343.35;152.34;24791.7;21225.82;13264.32;31218.79;5488.08;25071.08;6444.42;3397.06;21160.83;17137.91;9122.09;4376.24;17693.85;16371.08;5224.15;18290.64;9774.22;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;gestionnaire adversaire;2024-08-01T03:32:03;orange gestionnaire;2024-07-31T21:11:06
39e8be11-fd08-4181-a330-91383e39ca4f;absolument;5175.99;23669.83;17322.04;7405.21;28807.28;17517.71;4981.49;17127.3;20608.78;12650.35;19913.99;31782.01;5628.95;12808.74;29293.48;25650.86;24587.74;25149.86;7114.09;1193.63;29694.83;986.29;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;mal masquer;2024-07-31T15:26:40;corps enseignant;2024-07-31T08:03:43
bbfa23d2-a392-41b4-acb2-627036bbe93f;de peur que géométrique opérer;26343.24;8501.93;7041.32;13826.01;2393.59;11927.21;12782.69;20710.85;1705.79;9538.76;28920.76;15434.1;16869.63;30877.59;25673.39;29804.83;3723.09;5090.8;1887.12;23623.98;18577.52;25417.54;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;à l'entour de antagoniste;2024-07-31T22:52:53;dring;2024-07-31T22:44:41
8750582a-3b47-497e-9472-cb775db865d6;population du Québec approximativement;22571.08;19379.3;5919.29;1970.01;19792.41;21232.31;26293.77;22089.74;28191.95;28213;8259.83;12394.93;30074.28;18493.25;25537.18;18698.83;2518.04;21088.97;1660.69;26472.37;13344.7;27794.61;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;envers;2024-07-31T13:26:24;croâ fleurir;2024-07-31T22:24:58
8fcb6202-31d8-47a3-88a5-e24ae8b42239;malgré direction miam;1821.72;15326.81;17513.63;30256.65;18576.56;19105.63;12468.26;26769.24;3121.73;3712.47;21534.56;18312.28;4133.82;31389.9;924.32;23520.59;8129.75;28343.64;12602.64;27448.72;28094.66;4526.35;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;énorme badaboum après que;2024-07-31T20:34:15;tellement au cas où;2024-07-31T16:22:43
afc24eec-09ec-402f-892b-f0a862b380be;immense;9708.15;8495.3;31564.91;18309.16;27958.5;27555.52;30555.3;10598.33;22335.25;19089.16;31547.61;15704.09;28368.42;22166.56;29931.59;9706.67;15319.81;1327.09;15253.25;16254.05;22858.48;14464.15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;à peine tracer;2024-07-31T16:10:43;du fait que à peu près croâ;2024-07-31T17:00:43
195238f8-db00-47eb-910d-c98788deb2af;par rapport à;25595.01;7388.49;5902.58;5272.83;27605.4;25258.9;30282.11;25000.05;10807.69;20829.44;7693.33;5840.71;687.11;537.59;20537.67;2280.46;30042.75;26722.69;304.1;12828.33;31833.58;21271.56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;diplomate;2024-07-31T14:08:10;pschitt;2024-07-31T19:49:51
ed18b758-b06a-4621-a97e-340362b8d354;admirablement pff hormis;11981.32;25490.86;6686.36;4739.03;16341.96;21834.68;9071.03;16942.72;13152.99;2163.11;19235.8;14666.63;10360.77;9852.32;29147.06;15451.49;25627.27;10332.92;24099.05;1535.94;2984.17;7075.93;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;hirsute;2024-07-31T12:14:31;quelquefois expliquer;2024-07-31T09:06:20
695745f6-166b-47a2-9194-aa734134c43c;guider quand ? atchoum;13362.76;20044.84;4996.26;7969.16;7550.77;2887.14;23193.76;20776.42;25106.78;26554.42;8016.8;30608.34;4740.75;11825.23;16412.62;18645.34;23350.96;28955.61;30133.78;26590.45;12505.38;22185.26;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;jeune à peu près;2024-07-31T23:05:39;juriste;2024-08-01T04:09:25
